study,survey,case,data_type,stage_id,stage,pnum,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
Uppsala Speaks,uppsala_speaks,Activate,Likert,1,Pre-Delib,203,1,6,5,5,4,5,5,7,6,5,5,4,3,7,7,5,5,7,3,4,4,5,5,3,5,5,5,5,4,5,3,7,7,7,5,2,2,4,4,5,2,5,NA,NA,NA,NA,NA,NA,NA,NA,6,5,4,7,1,3,2,NA,NA,NA
Uppsala Speaks,uppsala_speaks,Activate,Likert,1,Pre-Delib,204,7,7,2,2,4,6,1,7,6,1,6,6,1,7,6,6,4,6,5,2,2,4,2,2,2,1,2,2,6,6,6,7,5,6,1,1,1,6,4,2,1,6,NA,NA,NA,NA,NA,NA,NA,NA,5,6,1,7,3,4,2,NA,NA,NA
Uppsala Speaks,uppsala_speaks,Activate,Likert,1,Pre-Delib,206,6,5,2,3,4,2,2,5,3,3,7,7,2,6,7,5,2,7,5,4,1,4,4,4,4,3,4,2,7,7,5,7,5,7,2,2,3,7,6,3,1,5,NA,NA,NA,NA,NA,NA,NA,NA,7,6,4,5,2,3,1,NA,NA,NA
Uppsala Speaks,uppsala_speaks,Activate,Likert,1,Pre-Delib,210,6,3,4,6,5,4,2,6,3,3,4,6,6,6,6,7,4,6,6,6,7,1,3,3,4,5,6,4,1,4,7,7,3,7,3,6,5,6,4,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,5,7,2,6,4,1,3,NA,NA,NA
Uppsala Speaks,uppsala_speaks,Activate,Likert,1,Pre-Delib,211,6,6,4,3,5,2,2,5,2,5,6,6,2,6,5,6,4,6,6,4,2,2,4,2,5,3,5,3,5,5,2,6,6,7,2,2,4,5,3,5,2,2,NA,NA,NA,NA,NA,NA,NA,NA,5,7,2,6,1,4,3,NA,NA,NA
Uppsala Speaks,uppsala_speaks,Activate,Likert,1,Pre-Delib,215,6,5,3,7,4,4,2,6,3,5,5,5,2,6,6,6,5,6,6,4,3,3,4,4,7,6,6,2,5,6,2,6,6,7,4,3,4,3,5,6,2,3,NA,NA,NA,NA,NA,NA,NA,NA,6,5,4,7,1,2,3,NA,NA,NA
Uppsala Speaks,uppsala_speaks,Activate,Likert,1,Pre-Delib,217,7,7,6,7,4,4,5,7,3,4,4,4,4,6,6,7,4,7,4,4,3,4,4,2,4,4,6,4,4,4,2,7,7,7,4,4,5,1,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,5,6,1,7,3,2,4,NA,NA,NA
Uppsala Speaks,uppsala_speaks,Activate,Likert,1,Pre-Delib,218,7,7,5,4,2,4,5,7,5,4,6,2,6,4,7,7,7,6,5,4,1,5,3,2,7,4,2,5,6,4,6,7,7,7,2,3,1,5,3,6,1,1,NA,NA,NA,NA,NA,NA,NA,NA,3,4,2,7,1,5,6,NA,NA,NA
Uppsala Speaks,uppsala_speaks,Activate,Likert,1,Pre-Delib,221,6,4,5,3,4,4,4,6,5,3,3,3,5,6,6,6,5,6,6,4,5,3,3,2,6,5,6,5,3,5,6,6,6,6,2,1,2,2,4,5,3,3,NA,NA,NA,NA,NA,NA,NA,NA,5,4,1,2,3,6,7,NA,NA,NA
Uppsala Speaks,uppsala_speaks,Activate,Likert,1,Pre-Delib,223,7,6,5,4,5,3,1,6,5,5,5,5,5,6,7,6,4,7,6,3,5,1,4,1,4,3,4,3,2,5,2,7,6,7,1,1,1,5,5,6,1,3,NA,NA,NA,NA,NA,NA,NA,NA,6,7,3,5,2,4,1,NA,NA,NA
Uppsala Speaks,uppsala_speaks,Activate,Likert,1,Pre-Delib,226,6,6,6,4,4,5,5,6,1,7,2,3,1,7,7,7,3,6,4,5,4,2,5,6,4,4,4,4,2,4,2,6,6,7,2,1,4,1,4,6,4,5,NA,NA,NA,NA,NA,NA,NA,NA,3,4,2,7,1,5,6,NA,NA,NA
Uppsala Speaks,uppsala_speaks,Activate,Likert,1,Pre-Delib,228,7,6,5,4,4,4,2,1,7,1,6,4,5,5,4,6,2,7,2,2,2,1,4,2,3,1,3,2,3,5,1,4,5,6,2,2,2,2,4,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,6,5,1,7,4,2,3,NA,NA,NA
Uppsala Speaks,uppsala_speaks,Activate,Likert,1,Pre-Delib,230,6,6,3,5,5,6,2,6,6,6,3,3,5,7,7,6,6,6,6,4,2,1,6,2,6,1,4,4,2,5,5,7,7,7,2,2,1,2,4,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,6,5,3,7,1,2,4,NA,NA,NA
Uppsala Speaks,uppsala_speaks,Activate,Likert,1,Pre-Delib,236,7,7,4,1,4,4,1,6,4,4,5,7,4,7,6,6,1,4,4,1,5,4,3,2,4,4,4,4,3,5,4,7,5,7,4,4,4,5,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,5,7,1,6,3,4,2,NA,NA,NA
